country,_order_value_eur_,_cost_,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
sweden,"17,524.02",14122.61,2020-02-12,books,Goldner-Dibbert,Maxie Marrow,Madelon Bront,mobile,70-0511466
finland,"116,563.40",92807.78,2019-09-26,games,Hilll-Vandervort,Hube Corey,Wat Bowkley,mobile,28-6585323
portugal,"296,465.56",257480.34,2019-07-11,clothing,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,pc,58-7703341
portugal,"74,532.02",59752.32,2020-04-02,beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,pc,14-6700183
spain,"178,763.42",146621.76,2019-12-22,games,Johns and Sons,Emalia Dinse,Bertha Walbrook,tablet,15-8765160
spain,"84,900.24",73701.9,2020-07-14,clothing,"Farrell, Swaniawski and Crist",Emalia Dinse,Perri Aldersley,pc,60-6998932
portugal,"71,620.08",62245.01,2019-02-05,books,Schoen-Keeling,Celine Tumasian,Smitty Culverhouse,pc,69-6259390
uk,"156,585.22",126599.15,2020-08-30,accessories,"Hermiston, Simonis and Wisoky",Jessamine Apark,Winny Agnolo,pc,64-5761908
portugal,"78,461.13",63537.82,2020-05-10,appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,mobile,91-4126746
france,"64,827.80",56043.63,2019-01-20,appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,pc,62-3312495
sweden,"142,664.34",120808.16,2019-05-04,appliances,"Swaniawski, Runolfsson and Green",Maxie Marrow,Madelon Bront,pc,85-6625096
uk,"66,673.19",52811.83,2019-02-23,smartphones,Gislason-Stanton,Jessamine Apark,Winny Agnolo,pc,25-6368157
portugal,"136,915.61",114790.05,2020-01-04,outdoors,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,tablet,15-3943365
uk,"164,971.70",132686.74,2019-07-20,accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,pc,32-3534634
uk,"149,486.27",118662.2,2019-08-06,beauty,Johns and Sons,Jessamine Apark,Genevra Charrisson,pc,02-3972649
sweden,"54,078.92",46102.28,2020-11-08,books,Tillman and Sons,Maxie Marrow,Anita Woakes,pc,08-7576451
france,"107,499.78",91364.06,2019-02-26,smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,pc,68-3583935
uk,"29,493.79",24285.19,2019-11-22,games,Tillman and Sons,Jessamine Apark,Jay Morefield,pc,53-7769693
portugal,"147,656.52",124193.9,2019-06-05,smartphones,Goldner-Dibbert,Celine Tumasian,Corene Shirer,pc,85-4732103
portugal,"156,839.31",134709.28,2020-05-11,smartphones,Stamm Inc,Celine Tumasian,Corene Shirer,pc,27-9800293
spain,"81,412.10",64747.04,2019-11-06,electronics,Johns and Sons,Emalia Dinse,Bertha Walbrook,pc,67-3929836
sweden,"56,717.53",45101.78,2019-03-10,clothing,Johns and Sons,Maxie Marrow,Alyosha Meah,pc,13-0526029
netherlands,"17,028.19",14102.75,2020-02-07,clothing,Johns and Sons,Denice Amberg,Nero Harbisher,pc,38-5910704
finland,"236,462.30",205674.91,2020-12-23,clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,pc,41-6407014
portugal,"172,989.17",142975.55,2020-06-10,beauty,Romaguera-Dietrich,Celine Tumasian,Hortense Gerring,pc,22-6745595
sweden,"48,179.57",41405.52,2020-08-14,books,Franecki-White,Maxie Marrow,Anita Woakes,pc,96-3022721
portugal,"121,318.55",102890.26,2020-03-10,electronics,"Jacobson, Marvin and Brown",Celine Tumasian,Aurelie Wren,tablet,48-0713329
belgium,"93,153.98",79702.55,2020-04-03,appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,mobile,50-0942872
bulgaria,"98,289.32",84116.0,2019-02-15,appliances,"Murray, Reichel and Nolan",Charil Alpe,Shermy McGready,pc,78-2307905
luxembourg,"108,920.56",94270.74,2019-07-08,books,"Swaniawski, Runolfsson and Green",Ilsa Kob,Jocelyn Laurentino,pc,63-0019978
portugal,"37,273.84",31559.76,2020-01-20,games,Considine-Fisher,Celine Tumasian,Aurelie Wren,tablet,26-9948924
spain,"221,745.05",190767.27,2019-06-25,appliances,Kirlin and Sons,Emalia Dinse,Bertha Walbrook,mobile,72-7630507
netherlands,"54,566.99",43757.27,2020-03-23,smartphones,Friesen-Rath,Denice Amberg,Nero Harbisher,pc,36-3410564
portugal,"111,639.29",97204.33,2019-10-28,smartphones,"Keeling, Monahan and Pollich",Celine Tumasian,Hortense Gerring,pc,82-4653018
sweden,"74,273.54",61981.27,2020-03-28,beauty,"Swaniawski, Runolfsson and Green",Maxie Marrow,Caro Morfield,pc,29-1001593
portugal,"95,566.43",80342.7,2019-05-07,clothing,Hessel-Stiedemann,Celine Tumasian,Hortense Gerring,pc,59-5568557
france,"28,783.05",24776.45,2019-03-29,clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,pc,12-1249283
uk,"124,414.74",98959.48,2019-06-13,outdoors,Labadie and Sons,Jessamine Apark,Winny Agnolo,pc,96-0180648
portugal,"153,029.72",125117.1,2020-01-28,games,Friesen-Rath,Celine Tumasian,Corene Shirer,pc,51-9029547
sweden,"174,919.64",146845.04,2020-11-03,clothing,Wiza and Sons,Maxie Marrow,Caro Morfield,mobile,84-2614836
france,"55,804.05",46401.07,2019-03-05,electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,pc,57-6995715
france,"89,160.66",75367.51,2019-11-18,beauty,Wiza and Sons,Othello Bowes,Crysta Halls,pc,27-4115444
uk,"27,987.13",24001.76,2019-03-26,games,Labadie and Sons,Jessamine Apark,Genevra Charrisson,pc,34-3302340
france,"18,326.41",15067.97,2019-02-03,games,"Schmitt, Purdy and Johnson",Othello Bowes,Ora Grennan,pc,25-6638623
netherlands,"62,708.60",51414.78,2019-08-29,smartphones,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,pc,11-5260310
uk,"124,668.36",103998.35,2020-11-05,games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,pc,68-5024232
italy,"109,390.57",87414.0,2020-11-12,other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,mobile,90-2530115
portugal,"103,279.79",82334.65,2020-03-12,appliances,Johns and Sons,Celine Tumasian,Aurelie Wren,pc,23-8271333
france,"173,478.65",139650.31,2019-01-29,books,Johns and Sons,Othello Bowes,Avrit Chanders,pc,99-7422044
sweden,"57,927.54",48914.01,2019-01-18,games,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,mobile,67-6692861
portugal,"84,767.77",68950.1,2020-01-18,electronics,McGlynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,mobile,20-3441688
france,"138,175.53",116744.51,2020-11-03,other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,pc,80-8230605
portugal,"143,107.89",121241.0,2020-11-02,electronics,Kirlin and Sons,Celine Tumasian,Hortense Gerring,mobile,18-0704377
sweden,"54,446.50",44989.14,2020-03-09,appliances,Wunsch LLC,Maxie Marrow,Alyosha Meah,tablet,47-5524071
portugal,"136,324.90",110436.8,2019-10-29,electronics,Walter LLC,Celine Tumasian,Hortense Gerring,tablet,76-2572347
portugal,"43,066.58",36154.39,2019-02-08,games,"Hamill, Kulas and Roob",Celine Tumasian,Hortense Gerring,mobile,74-4429133
france,"224,626.25",189988.88,2020-07-21,electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,pc,69-1300467
france,"115,689.22",98127.6,2019-07-15,clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,pc,99-8643527
bulgaria,"78,293.94",66236.67,2019-10-13,appliances,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,mobile,14-1143584
portugal,"92,698.45",73454.25,2020-01-13,clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,pc,62-4331197
bulgaria,"83,141.47",72000.51,2019-03-15,outdoors,Wisoky Inc,Charil Alpe,Shermy McGready,mobile,02-3333733
portugal,"38,982.26",32854.25,2019-10-12,clothing,Hegmann Group,Celine Tumasian,Smitty Culverhouse,mobile,09-3959499
portugal,"57,120.58",49654.92,2019-11-25,games,"Leffler, Prohaska and Streich",Celine Tumasian,Aurelie Wren,pc,55-7848276
sweden,"240,759.07",205415.64,2020-06-14,appliances,"Schmitt, Purdy and Johnson",Maxie Marrow,Tarrah Castelletti,pc,98-1814878
sweden,"53,849.12",47354.92,2020-04-15,games,"Rowe, Hermiston and Kessler",Maxie Marrow,Alyosha Meah,pc,83-9569509
ireland,"361,182.87",288368.4,2019-12-02,books,Smith Group,Glenine Suttaby,Bunnie Tonbridge,pc,44-1953194
sweden,"97,063.22",78067.95,2019-10-19,appliances,"Zieme, Bailey and Herzog",Maxie Marrow,Madelon Bront,tablet,50-0376562
